0,0,"[45, 31, 45]","[-15, -31, -45]",0,54.6470276,0.07186330000001817,50.555635799999976

0,1,"[45, 46, 45]","[-45, -16, -45]",1,82.56853469999999,0.07413350000001628,81.964743

0,2,"[31, 35, 31]","[-31, -35, -1]",1,64.84155070000003,0.07638420000000679,64.33149650000001

1,0,"[35, 56, 35]","[-5, -56, -35]",1,105.47800189999998,0.0745904000000337,104.91495280000004

1,1,"[31, 60, 31]","[-31, -30, -31]",1,77.92649979999999,0.07305480000002262,77.31667219999997

1,2,"[41, 59, 41]","[-41, -59, -11]",1,133.1039869,0.07448610000005829,132.44497779999995

2,0,"[52, 38, 52]","[-22, -38, -52]",0,152.7843997,0.0762353999999732,152.1538238999999

2,1,"[35, 58, 35]","[-35, -28, -35]",1,61.11836900000003,0.07306500000004235,60.37681429999998

2,2,"[43, 49, 43]","[-43, -49, -13]",1,138.08735539999998,0.0750269999999773,137.50293409999995

3,0,"[59, 33, 59]","[-29, -33, -59]",0,68.3095459000001,0.07330019999994875,67.59895039999992

3,1,"[38, 35, 38]","[-38, -5, -38]",0,163.06338359999995,0.07471160000000054,162.44730950000007

3,2,"[47, 46, 47]","[-47, -46, -17]",0,126.70792069999993,0.07199209999998857,125.96814450000011

4,0,"[59, 49, 59]","[-29, -49, -59]",0,144.02144180000005,0.07305249999990338,143.34709180000004

4,1,"[71, 23, 71]","[-71, 7, -71]",0,145.72039870000003,0.07274640000014188,145.064928

4,2,"[64, 25, 64]","[-64, -25, -34]",0,61.78207099999986,0.07515420000004269,61.10634249999998

5,0,"[39, 60, 39]","[-9, -60, -39]",1,127.02390070000001,0.0763824000000568,126.37423020000006

5,1,"[74, 23, 74]","[-74, 7, -74]",0,92.1967923000002,0.07145519999994576,91.58250449999991

5,2,"[58, 58, 58]","[-58, -58, -28]",0,163.0113179,0.07561179999993328,162.1763029000001

6,0,"[52, 60, 52]","[-22, -60, -52]",1,72.97180439999966,0.07210980000036216,72.37584040000002

6,1,"[54, 31, 54]","[-54, -1, -54]",0,167.6953696999999,0.07219140000006519,167.06376120000004

6,2,"[52, 53, 52]","[-52, -53, -22]",1,75.4248333999999,0.07052750000002561,74.69656420000001

7,0,"[46, 41, 46]","[-16, -41, -46]",0,189.27006900000015,0.07309000000032029,188.58661940000002

7,1,"[49, 43, 49]","[-49, -13, -49]",0,112.55366779999986,0.07365359999994325,111.84488669999973

7,2,"[71, 46, 71]","[-71, -46, -41]",0,155.04129680000005,0.07176520000029996,154.41091770000003

8,0,"[48, 43, 48]","[-18, -43, -48]",0,56.74377809999987,0.07291329999998197,55.99525689999973

8,1,"[44, 21, 44]","[-44, 9, -44]",0,157.64296409999997,0.0751535999997941,156.93162729999995

8,2,"[46, 47, 46]","[-46, -47, -16]",1,82.22923059999994,0.07195820000015374,81.61474050000015

9,0,"[45, 32, 45]","[-15, -32, -45]",0,171.9247019000004,0.07061569999996209,171.2628477999997

9,1,"[47, 21, 47]","[-47, 9, -47]",0,159.07014600000002,0.07223000000021784,158.37310579999985

9,2,"[49, 15, 49]","[-49, -15, -19]",0,96.82047730000022,0.0729989999999816,96.13963769999964

0,0,"[45, 31, 45]","[-15, -31, -45]",0,157.08330739999974,0.07227030000012746,156.25420220000024

0,1,"[45, 46, 45]","[-45, -16, -45]",1,147.19496049999998,0.04748840000002019,146.51824130000023

0,2,"[31, 35, 31]","[-31, -35, -1]",1,80.92164309999998,0.07209939999984272,80.25428090000014

1,0,"[34, 56, 34]","[-4, -56, -34]",1,97.34582869999986,0.04672340000024633,96.64414439999973

1,1,"[31, 61, 31]","[-31, -31, -31]",1,59.378770400000576,0.04880020000018703,58.76813889999994

1,2,"[36, 60, 36]","[-36, -60, -6]",1,61.516422699999566,0.04976989999977377,60.86790010000004

2,0,"[48, 49, 48]","[-18, -49, -48]",1,48.11720989999958,0.07260440000027302,47.50914199999988

2,1,"[32, 58, 32]","[-32, -28, -32]",1,83.70928150000054,0.0523470999996789,83.06889440000032

2,2,"[41, 49, 40]","[-41, -49, -10]",1,100.27044519999981,0.0565441999997347,99.6304437000008

3,0,"[54, 38, 53]","[-24, -38, -53]",0,134.24308029999975,0.05215839999982563,133.72438630000033

3,1,"[40, 37, 40]","[-40, -7, -40]",0,64.81447239999943,0.05213209999965329,64.18042030000015

3,2,"[46, 44, 46]","[-46, -44, -16]",0,86.5107222000006,0.04981029999999009,85.90706449999925

4,0,"[57, 52, 56]","[-27, -52, -56]",0,62.03239179999946,0.05308899999999994,61.45146629999999

4,1,"[70, 31, 69]","[-70, -1, -69]",0,87.80349649999971,0.05198450000079902,87.20594650000021

4,2,"[63, 23, 63]","[-63, -23, -33]",0,48.92946949999987,0.058856000000560016,48.36793630000011

5,0,"[42, 57, 42]","[-12, -57, -42]",1,77.19860270000027,0.07199730000047566,76.60807300000033

5,1,"[72, 13, 71]","[-72, 17, -71]",0,67.64724659999956,0.05342149999978574,67.06858060000013

5,2,"[55, 58, 55]","[-55, -58, -25]",1,73.55713449999985,0.05292390000067826,72.8623918000003

6,0,"[51, 61, 51]","[-21, -61, -51]",1,45.757900399999926,0.05906520000007731,45.201547099999516

6,1,"[49, 66, 49]","[-49, -36, -49]",1,64.98969109999962,0.055796500000724336,64.44085129999985

6,2,"[51, 49, 51]","[-51, -49, -21]",0,62.970768000000135,0.054429800000434625,62.38457240000025

7,0,"[57, 43, 57]","[-27, -43, -57]",0,105.46321979999993,0.057037900000068475,104.88331749999998

7,1,"[46, 19, 46]","[-46, 11, -46]",0,65.99120399999993,0.053092000000106054,65.38274600000022

7,2,"[64, 53, 64]","[-64, -53, -34]",0,95.18229909999991,0.053197399999589834,94.55535000000054

8,0,"[49, 41, 48]","[-19, -41, -48]",0,58.47324660000049,0.07754819999991014,57.84600750000027

8,1,"[33, 56, 33]","[-33, -26, -33]",1,82.32738700000027,0.05455030000030092,81.73411039999974

8,2,"[62, 40, 62]","[-62, -40, -32]",0,65.14998560000004,0.054811899999549496,64.50785619999988

9,0,"[41, 36, 40]","[-11, -36, -40]",0,85.89263519999986,0.055661500000496744,85.26001039999937

9,1,"[40, 42, 41]","[-40, -12, -41]",1,48.51687459999994,0.05273739999938698,47.950290299999324

9,2,"[44, 13, 43]","[-44, -13, -13]",0,66.04851659999986,0.05215849999967759,65.46536670000023

0,0,"[42, 41, 40]","[-12, -41, -40]",0,53.672081900000194,0.05239220000021305,53.12166479999996

0,1,"[37, 62, 38]","[-37, -32, -38]",1,82.37999920000038,0.05406669999956648,81.80162469999959

0,2,"[42, 34, 43]","[-42, -34, -13]",2,65.07451989999936,0.07794709999961924,64.39548860000014

1,0,"[32, 58, 31]","[-2, -58, -31]",1,84.58086860000003,0.054512000000613625,83.97349880000002

1,1,"[30, 86, 30]","[-30, -56, -30]",1,53.61107269999957,0.0534602999996423,53.02464239999972

1,2,"[48, 70, 49]","[-48, -70, -19]",1,81.53178449999996,0.051746799999818904,80.97537190000003

2,0,"[49, 46, 48]","[-19, -46, -48]",0,50.63933029999953,0.05250930000056542,50.07079150000027

2,1,"[23, 123, 22]","[-23, -93, -22]",1,68.18296069999997,0.05485490000046411,67.58292379999966

2,2,"[37, 50, 37]","[-37, -50, -7]",1,62.34512030000042,0.05803550000018731,61.7215000999995

3,0,"[50, 42, 50]","[-20, -42, -50]",0,73.12600269999984,0.053178099999968254,72.56321679999928

3,1,"[31, 126, 30]","[-31, -96, -30]",1,52.9832550000001,0.05168760000015027,52.42738819999977

3,2,"[40, 43, 39]","[-40, -43, -9]",1,91.18559249999998,0.07034600000042701,90.55724639999971

4,0,"[49, 51, 50]","[-19, -51, -50]",1,53.24944770000002,0.05722700000023906,52.667624499999874

4,1,"[57, 117, 57]","[-57, -87, -57]",1,99.19967890000044,0.050868399999671965,98.64348619999964

4,2,"[56, 88, 59]","[-56, -88, -29]",1,69.54489279999962,0.053052799999932176,68.90303040000072

5,0,"[41, 52, 42]","[-11, -52, -42]",1,74.88285799999994,0.05126319999999396,74.08926410000004

5,1,"[72, 11, 71]","[-72, 19, -71]",0,55.74604819999968,0.05382019999979093,55.17150130000027

5,2,"[63, 59, 65]","[-63, -59, -35]",2,74.19690749999972,0.052052399999411136,73.57873700000073

6,0,"[45, 61, 47]","[-15, -61, -47]",1,52.37875240000085,0.060710499999913736,51.807830900000226

6,1,"[43, 78, 42]","[-43, -48, -42]",1,87.0496364999999,0.05142429999978049,86.46665609999945

6,2,"[44, 55, 44]","[-44, -55, -14]",1,62.42256889999953,0.07507369999984803,61.78585329999987

7,0,"[59, 95, 58]","[-29, -95, -58]",1,97.57692739999948,0.05371500000001106,96.93075500000032

7,1,"[40, 71, 42]","[-40, -41, -42]",1,56.337572600000385,0.05346610000015062,55.735518099999354

7,2,"[59, 48, 59]","[-59, -48, -29]",0,68.66204749999997,0.05590959999972256,68.03277239999989

8,0,"[58, 41, 59]","[-28, -41, -59]",2,65.33264259999942,0.05293990000063786,64.73115639999924

8,1,"[34, 58, 34]","[-34, -28, -34]",1,89.50222869999925,0.052901899999596935,88.92042570000012

8,2,"[48, 36, 48]","[-48, -36, -18]",0,49.32640410000022,0.05063890000019455,48.76489750000019

9,0,"[38, 50, 41]","[-8, -50, -41]",1,78.02794350000022,0.05158639999990555,77.42793970000002

9,1,"[37, 80, 38]","[-37, -50, -38]",1,59.892153200000394,0.05122819999996864,59.275035800000296

9,2,"[35, 117, 32]","[-35, -117, -2]",1,77.4442011000001,0.07270080000034795,76.8185168

0,0,"[41, 66, 40]","[-11, -66, -40]",1,66.10884150000038,0.05288230000041949,65.49695599999905

0,1,"[35, 73, 34]","[-35, -43, -34]",1,104.7454531000003,0.05985390000023472,104.16348350000044

0,2,"[53, 33, 50]","[-53, -33, -20]",0,58.81306649999897,0.05408910000005562,58.194694400001026

1,0,"[42, 55, 39]","[-12, -55, -39]",1,98.6698651000006,0.052598199999920325,98.04391120000037

1,1,"[31, 32, 32]","[-31, -2, -32]",1,107.41799379999975,0.05364689999987604,106.73822550000114

1,2,"[46, 60, 46]","[-46, -60, -16]",1,66.80578760000026,0.051572700000178884,66.1761377999992

2,0,"[47, 66, 47]","[-17, -66, -47]",1,105.00797200000125,0.052460200000496116,104.3029203999995

2,1,"[25, 0, 25]","[-25, 30, -25]",0,62.00934099999904,0.053415799999129376,61.4136553999997

2,2,"[48, 49, 51]","[-48, -49, -21]",2,81.3536124000002,0.053082499998708954,80.7366490000004

3,0,"[56, 42, 56]","[-26, -42, -56]",0,46.775929200000974,0.053072700000484474,46.19265210000049

