0,0,"[16, 16, 13]","[14, -16, -13]",0,511.1619196999818
0,1,"[7, 7, 7]","[-7, 23, -7]",0,780.1591875000158
0,2,"[18, 17, 19]","[-18, -17, 11]",2,780.6165805999772
1,0,"[21, 21, 22]","[9, -21, -22]",2,868.5410235999734
