0,0,"[16, 12, 13]","[14, -12, -13]",0,936.6961082000053
0,1,"[7, 7, 7]","[-7, 23, -7]",0,1120.158215799951
0,2,"[18, 18, 19]","[-18, -18, 11]",2,880.3580118999816
1,0,"[21, 21, 22]","[9, -21, -22]",2,831.2832432000432
1,1,"[7, 7, 7]","[-7, 23, -7]",0,911.523174000089
1,2,"[19, 20, 20]","[-19, -20, 10]",1,878.632635399932
2,0,"[21, 22, 22]","[9, -22, -22]",1,941.0475264000706
2,1,"[4, 4, 4]","[-4, 26, -4]",0,1094.7814768999815
2,2,"[25, 23, 23]","[-25, -23, 7]",0,828.511223899899
3,0,"[18, 17, 17]","[12, -17, -17]",0,883.9392807999393
3,1,"[6, 6, 6]","[-6, 24, -6]",0,836.5392170000123
3,2,"[19, 20, 22]","[-19, -20, 8]",2,832.8313829000108
4,0,"[22, 22, 22]","[8, -22, -22]",0,831.4375048999209
4,1,"[12, 8, 9]","[-12, 22, -9]",0,801.8558238000842
4,2,"[14, 14, 15]","[-14, -14, 15]",2,810.0155688999221
5,0,"[27, 26, 26]","[3, -26, -26]",0,852.3306447000941
5,1,"[12, 13, 13]","[-12, 17, -13]",1,829.153347000014
5,2,"[22, 22, 21]","[-22, -22, 9]",0,838.5568752000108
6,0,"[23, 23, 24]","[7, -23, -24]",2,828.560319900047
6,1,"[6, 6, 6]","[-6, 24, -6]",0,814.2433313000947
6,2,"[16, 16, 16]","[-16, -16, 14]",0,833.0017073999625
7,0,"[12, 12, 12]","[18, -12, -12]",0,835.7217503000284
7,1,"[9, 9, 9]","[-9, 21, -9]",0,836.3967094999971
